"Sexo";"Longitud";"Diametro";"Altura";"PesoTotal";"PesoMolusco";"PesoConcha";"PesoConchaDisecada";"Anillos"
"M";455;365;95;514;224,5;101;150;15
"F";550;440;150;894,5;314,5;151;320;19
"I";380;275;100;225,5;80;49;85;10
"F";680;550;175;1798;815;392,5;455;19
"F";575;445;135;883;381;203,5;260;11
"F";470;360;120;477,5;210,5;105,5;150;10
"M";445;350;120;442,5;192;95,5;135;8
"I";245;190;60;86;42;14;25;4
"M";450;345;105;411,5;180;112,5;135;7
"F";565;440;160;915;354;193,5;320;12
"F";600;475;150;1007,5;442,5;221;280;15
"M";580;450;140;1013;380;216;360;14
"M";695;560;190;1494;588;342,5;485;15
"F";435;395;105;363,5;136;98;130;9
"F";515;425;140;766;304;172,5;255;14
"M";710;540;165;1959;766,5;261;780;18
"F";325;260;90;191,5;85;36;62;7
"F";425;330;115;406;163,5;81;135,5;8
"F";635;515;190;1371,5;506,5;305;450;10
"F";605;485;160;1222;530;257,5;280;13
"M";705;560;220;1981;817,5;308,5;760;14
"F";530;395;145;775;308;169;255;7
"F";440;340;140;482;186;108,5;160;9
"F";490;375;150;575,5;220;144;190;9
"I";230;175;65;64,5;26;10,5;20;5
"I";300;230;80;127,5;43,5;26,5;40;8
"I";360;275;85;197,5;74,5;41,5;70;9
"I";305;245;75;156;67,5;38;45;7
"F";575;460;185;1094;448,5;217;345;15
"F";570;440;125;865;367,5;172,5;270;12
"M";530;420;165;894,5;319;239;245;11
"M";520;450;150;895;361,5;186;235;14
"M";350;275;110;292,5;122,5;63,5;90,5;8
"F";640;525;215;1779;453,5;285,5;550;22
"M";635;525;205;1484;550;311,5;430;20
"F";535;415;185;841,5;314;158,5;300;15
"F";535;415;170;879;295;196,5;285;10
"F";495;400;155;644,5;242;132,5;205;17
"F";535;435;160;810,5;315,5;179,5;240;10
"F";565;455;175;1013;342;207;350;19
"M";490;395;140;549;221,5;127,5;150;11
"I";200;145;60;37;12,5;9,5;11;4
"I";320;255;100;175,5;73;41,5;65;7
"M";745;585;215;2499;926,5;472;700;17
"F";590;465;150;997;392;246;340;12
"M";580;465;145;887;440,5;165,5;265;11
